black,#000000,,"""black"" to ""#000000"","
mediumblue,#0000cd,,"""mediumblue"" to ""#0000cd"","
mediumorchid,#ba55d3,,"""mediumorchid"" to ""#ba55d3"","
mediumpurple,#9370db,,"""mediumpurple"" to ""#9370db"","
mediumseagreen,#3cb371,,"""mediumseagreen"" to ""#3cb371"","
mediumslateblue,#7b68ee,,"""mediumslateblue"" to ""#7b68ee"","
mediumspringgreen,#00fa9a,,"""mediumspringgreen"" to ""#00fa9a"","
mediumturquoise,#48d1cc,,"""mediumturquoise"" to ""#48d1cc"","
mediumvioletred,#c71585,,"""mediumvioletred"" to ""#c71585"","
midnightblue,#191970,,"""midnightblue"" to ""#191970"","
mintcream,#f5fffa,,"""mintcream"" to ""#f5fffa"","
mistyrose,#ffe4e1,,"""mistyrose"" to ""#ffe4e1"","
moccasin,#ffe4b5,,"""moccasin"" to ""#ffe4b5"","
navajowhite,#ffdead,,"""navajowhite"" to ""#ffdead"","
oldlace,#fdf5e6,,"""oldlace"" to ""#fdf5e6"","
olivedrab,#6b8e23,,"""olivedrab"" to ""#6b8e23"","
orangered,#ff4500,,"""orangered"" to ""#ff4500"","
orchid,#da70d6,,"""orchid"" to ""#da70d6"","
palegoldenrod,#eee8aa,,"""palegoldenrod"" to ""#eee8aa"","
palegreen,#98fb98,,"""palegreen"" to ""#98fb98"","
paleturquoise,#afeeee,,"""paleturquoise"" to ""#afeeee"","
palevioletred,#db7093,,"""palevioletred"" to ""#db7093"","
papayawhip,#ffefd5,,"""papayawhip"" to ""#ffefd5"","
peachpuff,#ffdab9,,"""peachpuff"" to ""#ffdab9"","
peru,#cd853f,,"""peru"" to ""#cd853f"","
pink,#ffc0cb,,"""pink"" to ""#ffc0cb"","
plum,#dda0dd,,"""plum"" to ""#dda0dd"","
powderblue,#b0e0e6,,"""powderblue"" to ""#b0e0e6"","
rosybrown,#bc8f8f,,"""rosybrown"" to ""#bc8f8f"","
royalblue,#4169e1,,"""royalblue"" to ""#4169e1"","
saddlebrown,#8b4513,,"""saddlebrown"" to ""#8b4513"","
salmon,#fa8072,,"""salmon"" to ""#fa8072"","
sandybrown,#f4a460,,"""sandybrown"" to ""#f4a460"","
seagreen,#2e8b57,,"""seagreen"" to ""#2e8b57"","
seashell,#fff5ee,,"""seashell"" to ""#fff5ee"","
sienna,#a0522d,,"""sienna"" to ""#a0522d"","
skyblue,#87ceeb,,"""skyblue"" to ""#87ceeb"","
slateblue,#6a5acd,,"""slateblue"" to ""#6a5acd"","
slategray,#708090,,"""slategray"" to ""#708090"","
slategrey,#708090,,"""slategrey"" to ""#708090"","
snow,#fffafa,,"""snow"" to ""#fffafa"","
springgreen,#00ff7f,,"""springgreen"" to ""#00ff7f"","
steelblue,#4682b4,,"""steelblue"" to ""#4682b4"","
tan,#d2b48c,,"""tan"" to ""#d2b48c"","
thistle,#d8bfd8,,"""thistle"" to ""#d8bfd8"","
tomato,#ff6347,,"""tomato"" to ""#ff6347"","
turquoise,#40e0d0,,"""turquoise"" to ""#40e0d0"","
violet,#ee82ee,,"""violet"" to ""#ee82ee"","
wheat,#f5deb3,,"""wheat"" to ""#f5deb3"","
whitesmoke,#f5f5f5,,"""whitesmoke"" to ""#f5f5f5"","
yellowgreen,#9acd32,,"""yellowgreen"" to ""#9acd32"","
rebeccapurple,#663399,,"""rebeccapurple"" to ""#663399"","
